participantId,surveyCode,time,age,gender,imageExperience,1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,1649679807422\bus_bicubic.png,1649679807422\bus_bilinear.png,1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bilinear.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_ogniewski.png,1649679807422\smolking_lab.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_srgb.png
1649679807422\mushroom_bilinear.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bicubic.png,5.331,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\mushroom_ogniewski.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_ogniewski.png,16.699,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bicubic.png,9.548,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\mushroom_bicubic.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bicubic.png,3.624,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\mushroom_bilinear.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bilinear.png,20.893,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\smolking_lab.png,1649679807422\smolking_srgb.png,1649679807422\smolking_lab.png,13.045,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\smolking_srgb.png,1649679807422\smolking_lab.png,1649679807422\smolking_srgb.png,46.519,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\smolking_linrgb.png,1649679807422\smolking_lab.png,1649679807422\smolking_lab.png,6.097,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\smolking_srgb.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_srgb.png,4.541,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,1649679807422\snail_srgb.png,9.106,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\snail_srgb.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,3.797,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,1
1649679807422\snail_srgb.png,1649679807422\snail_lab.png,1649679807422\snail_srgb.png,6.97,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_linrgb.png,4.562,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\bird_bicubic.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,12.684,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\bird_bicubic.png,1649679807422\bird_bilinear.png,1649679807422\bird_bicubic.png,9.816,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\bird_bilinear.png,1649679807422\bird_bicubic.png,1649679807422\bird_bilinear.png,30.64,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,1
1649679807422\bird_bilinear.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bilinear.png,2.774,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\bird_lanczos3.png,1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,12.065,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\bird_bicubic.png,1649679807422\bird_lanczos3.png,1649679807422\bird_lanczos3.png,7.368,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\bus_ogniewski.png,1649679807422\bus_bicubic.png,1649679807422\bus_ogniewski.png,17.046,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,1649679807422\bus_ogniewski.png,27.413,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\bus_ogniewski.png,1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,5.857,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,1
1649679807422\bus_lanczos3.png,1649679807422\bus_bicubic.png,1649679807422\bus_lanczos3.png,19.737,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\bus_lanczos3.png,1649679807422\bus_bilinear.png,1649679807422\bus_lanczos3.png,16.495,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\bus_bicubic.png,1649679807422\bus_bilinear.png,1649679807422\bus_bilinear.png,11.88,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_ogniewski.png,11.686,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_ogniewski.png,15.087,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bicubic.png,17.182,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_bicubic.png,9.625,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,1
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_lanczos3.png,15.12,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_ogniewski.png,11.164,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\mushroom_ogniewski.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_ogniewski.png,17.768,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\mushroom_ogniewski.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_ogniewski.png,9.139,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\mushroom_bicubic.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bicubic.png,11.058,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\mushroom_bilinear.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bicubic.png,6.877,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bilinear.png,1649679807422\mushroom_bicubic.png,5.501,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,1
1649679807422\mushroom_bilinear.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bilinear.png,5.037,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\smolking_srgb.png,1649679807422\smolking_lab.png,1649679807422\smolking_srgb.png,4.287,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\smolking_srgb.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_linrgb.png,14.65,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,1649679807422\snail_srgb.png,8.968,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\snail_lab.png,1649679807422\snail_srgb.png,1649679807422\snail_srgb.png,10.633,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\snail_srgb.png,1649679807422\snail_lab.png,1649679807422\snail_srgb.png,6.874,31db90e1-a810-4892-bf95-7ea21809f1e4,1
1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_lab.png,9.408,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\bird_bicubic.png,1649679807422\bird_lanczos3.png,1649679807422\bird_bicubic.png,12.862,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\bird_bilinear.png,1649679807422\bird_bicubic.png,1649679807422\bird_bicubic.png,9.607,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\bird_bicubic.png,1649679807422\bird_bilinear.png,1649679807422\bird_bicubic.png,4.15,31db90e1-a810-4892-bf95-7ea21809f1e4,1
1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,1649679807422\bird_lanczos3.png,5.171,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\bird_ogniewski.png,1649679807422\bird_lanczos3.png,1649679807422\bird_lanczos3.png,11.166,31db90e1-a810-4892-bf95-7ea21809f1e4,0
1649679807422\bird_bilinear.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bilinear.png,5.3,31db90e1-a810-4892-bf95-7ea21809f1e4,0
